Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0140254491237372,-1.46359095861988E-17,-0.0396282950760193,0,0,0,3.21358469498074,0.00758440507612283,1.02042408971249E-18,-0.000180016994765156,0.0206302650698968,3.18839490905985E-19,0.0246518263156418,0,0,0,0,0,0,package://avery/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://avery/meshes/base_link.STL,,base-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,0.000105404053833622,0.00011619663060234,0.00305906530178883,0,0,0,0.068110442622763,3.65452160350226E-05,-6.27727974151302E-11,-4.98297806278313E-08,3.65452037770999E-05,-5.49319727469599E-08,5.17469620663014E-05,0,0,0,0,0,0,package://avery/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://avery/meshes/left_wheel.STL,,right_wheel-1,left_cs,left_axis,left_wheel_joint,continuous,0.074127055039548,0.11,-0.055,-1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
right_wheel,-2.77555756156289E-17,0.000156881074473304,-0.00305906530178883,0,0,0,0.068110442622763,3.65452729773563E-05,-5.19010375435231E-21,-8.41883880005687E-21,3.65451468347662E-05,7.41655490594582E-08,5.17469620663014E-05,0,0,0,0,0,0,package://avery/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://avery/meshes/right_wheel.STL,,left_wheel-1,right_cs,right_axis,right_wheel_joint,continuous,0.074127055039548,-0.11,-0.055,-1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
lidar,0,6.85574692434294E-18,-0.0200543291401752,0,0,0,0.153506594634807,6.7252404140585E-05,1.93350358993692E-38,-1.91330721234352E-37,6.7252404140585E-05,-2.52549223085009E-23,9.37781843909317E-05,0,0,0,0,0,0,package://avery/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://avery/meshes/lidar.STL,,lidar-1,lidar_cs,lidar_axis,lidar_joint,fixed,0.101236810502729,0,0.05,0,0,0,base_link,0,0,0,,,,,,,,,,,,
